Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
宿,,宥,去,息救,sjuwH,三,開,心,尤,436.28,s-,-juwk,D,sjuwk,sjuk
宿,,屋,入,息逐,sjuwk,三,開,心,東,458.27,s-,-juw,C,sjuwH,sjəuᶜ
棲,齊,齊,平,先稽,sej,四,開,心,齊,90.15,s-,-ej,A,sej,
晉,,震,去,即刃,tsinH,三,開,精,真,393.33,ts-,-in,C,tsinH,
鬱,,物,入,紆物,ʔjut,三,開,影,文,475.33,-,-jut,D,jut,Ɂjuət
鬱,,,,,,,,,,,,,,,Ɂjuət
棧,,獮,上,士免,dzrjenX,三,開,崇（牀二）,仙,295.23,dzr-,-aen,C,dzraenH,"dẓănᴮ/ᶜ,dẓanᴮ"
棧,,諫,去,士諫,dzrænH,二,開,崇（牀二）,刪,405.49,dzr-,-aen,B,dzraenX,
棧,,產,上,士限,dzrɛnX,二,開,崇（牀二）,山,287.43,dzr-,-ean,B,dzreanX,
起,,止,上,墟里,khiX,三,開,溪,之,253.12,kh-,-i,B,khiX,kʰjiᴮ
投,侯,侯,平,度侯,duw,一,開,定,侯,214.28,d-,-uw,A,duw,dəu
踪,,,,,,,,,,,,,,,
嶂,,漾,去,之亮,tsyangH,三,開,章（照三）,陽,425.48,,,,,
駭,,駭,上,侯楷,hɛjX,二,開,匣,皆,271.23,,,,,
潭,覃,覃,平,徒含,dom,一,開,定,覃,221.05,d-,-om,A,dom,dậm
潭,,寢,上,以荏,yimX,三,開,以（喻四）,侵,330.06,,,,,
至,,至,去,脂利,tsyijH,三,開,章（照三）,脂,349.43,tsy-,-ij,C,tsyijH,tśiᶜ
故,,暮,去,古暮,kuH,一,開,見,模,368.29,k-,-u,C,kuH,kuoᶜ
故,,,,,,,,,,,k-,-u,C,kuH,kuoᶜ
虛,魚,魚,平,去魚,khjo,三,開,溪,魚,71.21,kh-,-jo,A,khjo,xjwo
虛,魚,魚,平,朽居,xjo,三,開,曉,魚,69.26,x-,-jo,A,xjo,
