Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
淞,鍾,鍾,平,息恭,sjowng,三,開,心,鍾,38.11,,,,,
淞,鍾,鍾,平,祥容,zjowng,三,開,邪,鍾,34.36,,,,,
埊,,,,,,,,,,,,,,,
鰅,鍾,鍾,平,魚容,ngjowng,三,開,疑,鍾,36.04,,,,,
鰅,虞,虞,平,遇俱,ngju,三,開,疑,虞,72.20,,,,,
芃,東,東,平,房戎,bjuwng,三,開,並,東,26.27,,,,,"buŋ,bjuŋ"
芃,東,東,平,薄紅,buwng,一,開,並,東,32.15,,,,,
鬚,虞,虞,平,相俞,sju,三,開,心,虞,75.33,s-,-ju,A,sju,
鎩,祭,祭,去,所例,srjejH,三,開,生（審二）,,377.10,,,,,
鎩,,怪,去,所拜,srɛjH,二,開,生（審二）,皆,386.24,,,,,
鎩,,黠,入,所八,srɛt,二,開,生（審二）,山,489.38,,,,,
趑,脂,脂,平,取私,tshij,三,開,清,脂,53.19,,,,,
趗,,燭,入,七玉,tshjowk,三,開,清,鍾,463.27,,,,,
趗,,屋,入,千木,tshuwk,一,開,清,東,451.50,,,,,
惶,唐,唐,平,胡光,hwang,一,合,匣,唐,181.16,,,,,
孩,咍,咍,平,戸來,hoj,一,開,匣,咍,100.49,h-,-oj,A,hoj,
靦,,銑,上,他典,thenX,四,開,透,先,288.29,th-,-en,B,thenX,
檇,灰,灰,平,昨回,dzwoj,一,合,從,灰,98.09,,,,,
檇,脂,脂,平,醉綏,tswij,三,合,精,脂,58.33,,,,,
檇,,至,去,將遂,tswijH,三,合,精,脂,350.47,,,,,
濇,,職,入,所力,srik,三,開,生（審二）,蒸,526.39,,,,,
濇,,緝,入,色立,srip,三,開,生（審二）,侵,533.22,,,,,
葭,麻,麻,平,古牙,kæ,二,開,見,麻,166.35,,,,,
嵃,,獮,上,魚蹇,ngjenX (III),三,開,疑,仙,292.39,,,,,
複,,宥,去,扶富,bjuwH,三,開,並,尤,436.51,p-,-juwk,D,pjuwk,pjuk
複,,屋,入,方六,pjuwk,三,開,幫,東,453.06,,,,,
躘,鍾,鍾,平,力鍾,ljowng,三,開,來,鍾,34.21,,,,,
躘,,用,去,良用,ljowngH,三,開,來,鍾,345.23,,,,,
藕,,厚,上,五口,nguwX,一,開,疑,侯,326.29,,,,,
塢,,姥,上,安古,ʔuX,一,開,影,模,266.41,,,,,kʰâmᴮ
鑨,,,,,,,,,,,,,,,
汍,寒(+w),桓,平,胡官,hwan,一,合,匣,桓,123.43,,,,,
純,真,諄,平,常倫,dzywin,三,合,常（禪三）,諄,107.07,dzy-,-win,A,dzywin,duən[ᴮ]
純,,準,上,之尹,tsywinX,三,合,章（照三）,諄,277.27,,,,,
橚,蕭,蕭,平,蘇彫,sew,四,開,心,蕭,144.04,,,,,
橚,,屋,入,息逐,sjuwk,三,開,心,東,459.05,,,,,
捲,仙,仙,平,巨員,gwjen (III),三,合,群,仙,143.20,,,,,
捲,,線,去,居倦,kwjenH (III),三,合,見,仙,410.33,,,,,
捲,,獮,上,居轉,kwjenX (III),三,合,見,仙,293.42,,,,,
绵,,,,,,,,,,,,,,,
斁,,暮,去,徒故,duH,一,開,定,模,367.09,,,,,
斁,,暮,去,當故,tuH,一,開,端,模,368.20,,,,,
斁,,昔,入,羊益,yiek,三,開,以（喻四）,清,517.11,,,,,
簫,蕭,蕭,平,蘇彫,sew,四,開,心,蕭,144.01,s-,-ew,A,sew,
寓,,遇,去,牛具,ngjuH,三,開,疑,虞,364.02,ng-,-ju,C,ngjuH,
颼,,,,,,,,,,,,,,,
崦,鹽,鹽,平,央炎,ʔjem (III),三,開,影,鹽,227.23,,,,,
麧,,沒,入,下没,hot,一,開,匣,魂,482.38,,,,,
𠹟,,,,,,,,,,,,,,,
罏,模,模,平,落胡,lu,一,開,來,模,84.37,,,,,
幼,,候,去,伊謬,ʔjiwH,三,開,影,侯,440.22,-,-jiw,C,jiwH,Ɂjieuᶜ
旟,魚,魚,平,以諸,yo,三,開,以（喻四）,魚,68.01,,,,,
睺,侯,侯,平,戸鉤,huw,一,開,匣,侯,212.27,,,,,
睺,,候,去,胡遘,huwH,一,開,匣,侯,437.33,,,,,
眺,,嘯,去,他弔,thewH,四,開,透,蕭,412.28,th-,-ew,C,thewH,
誥,,号,去,古到,kawH,一,開,見,豪,417.27,k-,-aw,C,kawH,kâuᶜ
佘,,,,,,,,,,,,,,,
愷,,海,上,苦亥,khojX,一,開,溪,咍,273.40,kh-,-oj,B,khojX,
𦧝,先,先,平,他前,then,四,開,透,先,133.17,,,,,
糊,模,模,平,戸吳,hu,一,開,匣,模,81.21,h-,-u,A,hu,
稌,模,模,平,他胡,thu,一,開,透,模,86.07,th-,-u,A,thu,
稌,,姥,上,他魯,thuX,一,開,透,模,264.32,,,,,
搆,,候,去,古候,kuwH,一,開,見,侯,439.35,,,,,
噏,,緝,入,許及,xip (III),三,開,曉,侵,533.26,x-,-ip,D,xip,
諳,覃,覃,平,烏含,ʔom,一,開,影,覃,221.35,,,,,
禹,,麌,上,王矩,hjuX,三,開,云（喻三）,虞,260.01,,,,,juᴮ
瓴,青,青,平,郎丁,leng,四,開,來,青,195.45,,,,,
𢋙,,,,,,,,,,,,,,,
䃔,冬,冬,平,戸冬,howng,一,開,匣,冬,33.35,,,,,
䃔,,宋,去,乎宋,howngH,一,開,匣,冬,344.25,,,,,
昱,,屋,入,余六,yuwk,三,開,以（喻四）,東,455.58,,,,,
䆕,,屑,入,於決,ʔwet,四,合,影,先,493.05,,,,,
蕡,文,文,平,符分,bjun,三,開,並,文,110.49,,,,,
虢,,陌,入,古伯,kwæk,二,合,見,庚,512.44,k-,-waek,D,kwaek,
碣,,薛,入,渠列,gjet (III),三,開,群,仙,497.24,,,,,
碣,,月,入,其謁,gjot,三,開,群,元,479.38,,,,,
臂,,寘,去,卑義,pjieH (IV),三,開,幫,支,347.17,p-,-jie,C,pjieH,pjie 4
亘,,嶝,去,古鄧,kongH,一,開,見,登,433.44,h-,-wan,A,hwan,
姮,,,,,,,,,,,,,,,
打,,迥,上,都挺,tengX,四,開,端,青,319.46,,,,,tɐŋᴮ
打,,梗,上,德冷,tængX,二,開,端,庚,317.18,,,,,"tieŋᴮ,tɐŋᴮ"
忠,東,東,平,陟弓,trjuwng,三,開,知,東,24.24,tr-,-juwng,A,trjuwng,ṭjuŋ
鶱,元,元,平,虚言,xjon,三,開,曉,元,115.40,,,,,
橎,,阮,上,府遠,pjonX,三,開,幫,元,281.13,,,,,
暥,,,,,,,,,,,,,,,
琪,之,之,平,渠之,gi,三,開,群,之,60.11,,,,,
港,,送,去,胡貢,huwngH,一,開,匣,東,344.08,,,,,kåŋᴮ
港,,講,上,古項,kæwngX,二,開,見,江,240.06,,,,,
擺,,蟹,上,北買,pɛɨX,二,開,幫,佳,271.07,,,,,
愵,,錫,入,奴歷,nek,四,開,泥,青,523.10,,,,,
矞,,術,入,餘律,ywit,三,合,以（喻四）,諄,473.42,,,,,
謇,,獮,上,九輦,kjenX (III),三,開,見,仙,291.43,,,,,
蔍,,屋,入,盧谷,luwk,一,開,來,東,451.35,,,,,
薯,,御,去,常恕,dzyoH,三,開,常（禪三）,魚,362.23,,,,,
癏,刪,刪,平,古還,kwæn,二,合,見,刪,127.26,,,,,
璥,,梗,上,居影,kjængX,三,開,見,庚,316.13,,,,,
麁,模,模,平,倉胡,tshu,一,開,清,模,86.01,,,,,
蠨,,,,,,,,,,,,,,,
䒠,,,,,,,,,,,,,,,
僱,,,,,,,,,,,,,,,
蹀,,帖,入,徒協,dep,四,開,定,添,541.41,,,,,
鬘,刪,刪,平,莫還,mæn,二,開,明,刪,128.29,,,,,
廌,,紙,上,池爾,drjeX,三,開,澄,支,244.15,,,,,"ḍjeᴮ,ḍaiᴮ"
廌,,蟹,上,宅買,drɛɨX,二,開,澄,佳,270.46,,,,,
鼈,,薛,入,并列,pjiet (IV),三,開,幫,仙,498.20,,,,,
塚,,腫,上,知隴,trjowngX,三,開,知,冬鍾,238.22,,,,,
抄,肴,肴,平,楚交,tsrhæw,二,開,初（穿二）,肴,154.14,,,,,
抄,,效,去,初敎,tsrhæwH,二,開,初（穿二）,肴,416.46,,,,,
刌,,混,上,倉本,tshwonX,一,合,清,魂,282.20,tsh-,-won,B,tshwonX,
慆,豪,豪,平,土刀,thaw,一,開,透,豪,156.28,,,,,tʰâu
栝,,末,入,古活,kwat,一,合,見,桓,485.57,,,,,
栝,,忝,上,他玷,themX,四,開,透,添,335.36,,,,,
沸,,未,去,方味,pjɨjH,三,開,幫,微,359.22,p-,-j+j,C,pj+jH,pjwəiᶜ
沸,,,,,,,,,,,,,,,pjwət
囗,微,微,平,雨非,hwjɨj,三,合,云（喻三）,微,64.08,,,,,
昈,,姥,上,侯古,huX,一,開,匣,模,267.23,,,,,
巡,真,諄,平,詳遵,zwin,三,合,邪,諄,108.18,,,,,
俎,,,,,,,,,,,,,,,
婥,,藥,入,昌約,tsyhak,三,開,昌（穿三）,陽,502.27,,,,,
准,,準,上,之尹,tsywinX,三,合,章（照三）,諄,277.25,,,,,
糜,支,支,平,靡爲,mje (III),三,開,明,支,42.25,m-,-je,A,mje,mje 3
榦,,翰,去,古案,kanH,一,開,見,寒,401.25,,,,,
洱,,志,去,仍吏,nyiH,三,開,日,之,357.33,,,,,
洱,,止,上,而止,nyiX,三,開,日,之,252.14,,,,,
〗,,,,,,,,,,,,,,,
湍,寒(+w),桓,平,他端,thwan,一,合,透,桓,124.37,,,,,
湍,仙,仙,平,職緣,tsywen,三,合,章（照三）,仙,142.01,,,,,
鼎,,迥,上,都挺,tengX,四,開,端,青,319.40,t-,-eng,B,tengX,tieŋᴮ
儼,,儼,上,魚掩,ngjæmX,三,開,疑,嚴,336.15,ng-,-jaem,B,ngjaemX,ŋjɐmᴮ
亶,,旱,上,多旱,tanX,一,開,端,寒,283.43,t-,-an,B,tanX,tânᴮ
葡,,,,,,,,,,,,,,,
竺,,沃,入,冬毒,towk,一,開,端,冬,459.52,,,,,
竺,,屋,入,張六,trjuwk,三,開,知,東,457.06,,,,,
竺,,屋,入,丁木,tuwk,一,開,端,東,450.19,,,,,
嬰,清,清,平,於盈,ʔjieng,三,開,影,清,191.06,-,-jieng,A,jieng,Ɂjiäŋ 4
嬰,,,,,,,,,,,-,-jieng,A,jieng,
崟,侵,侵,平,魚金,ngim (III),三,開,疑,侵,219.42,,,,,
兌,泰,泰,去,杜外,dwajH,一,合,定,,381.31,d-,-waj,C,dwajH,duâiᶜ
兌,,,,,,,,,,,d-,-waj,C,dwajH,"duâiᶜ,tʰuâiᶜ"
瀑,,号,去,薄報,bawH,一,開,並,豪,418.20,b-,-uwk,D,buwk,
瀑,,屋,入,蒲木,buwk,一,開,並,東,452.02,,,,,
岝,,鐸,入,在各,dzak,一,開,從,唐,508.21,,,,,
岝,,陌,入,鋤陌,dzræk,二,開,崇（牀二）,庚,511.16,,,,,
誌,,志,去,職吏,tsyiH,三,開,章（照三）,之,356.24,tsy-,-i,C,tsyiH,
酙,,,,,,,,,,,,,,,
窌,,宥,去,力救,ljuwH,三,開,來,尤,436.12,,,,,
窌,肴,肴,平,力嘲,læw,二,開,來,肴,154.49,,,,,
窌,,效,去,匹皃,phæwH,二,開,滂,肴,416.16,,,,,
航,唐,唐,平,胡郎,hang,一,開,匣,唐,182.37,h-,-ang,A,hang,
唾,,過,去,湯卧,thwaH,一,合,透,戈,420.26,,,,,tʰuâᶜ
柖,宵,宵,平,市昭,dzyew,三,開,常（禪三）,宵,149.20,,,,,
禗,之,之,平,息兹,si,三,開,心,之,59.36,,,,,
旎,,紙,上,女氏,nrjeX,三,開,娘,支,246.44,,,,,
場,陽,陽,平,直良,drjang,三,開,澄,陽,174.17,dr-,-jang,A,drjang,ḍjaŋ
瑜,虞,虞,平,羊朱,yu,三,開,以（喻四）,虞,76.31,,,,,
慚,談,談,平,昨甘,dzam,一,開,從,談,224.39,,,,,
嘽,寒(-w),寒,平,他干,than,一,開,透,寒,122.01,th-,-an,A,than,tʰân
嘽,,獮,上,昌善,tsyhenX,三,開,昌（穿三）,仙,291.32,th-,-an,A,than,
嘽,,,,,,,,,,,th-,-an,A,than,
䫻,,質,入,于筆,hwit (III),三,合,云（喻三）,真,471.51,,,,,
餭,唐,唐,平,胡光,hwang,一,合,匣,唐,181.21,,,,,
躅,,燭,入,直録,drjowk,三,開,澄,鍾,462.36,dr-,-jowk,D,drjowk,ḍjwok
磋,歌,歌,平,七何,tsha,一,開,清,歌,159.15,tsh-,-a,A,tsha,tsʰâ
磋,,過,去,七過,tshwaH,一,合,清,戈,421.18,,,,,
詎,,御,去,其據,gjoH,三,開,群,魚,362.59,,,,,
詎,,語,上,其吕,gjoX,三,開,群,魚,258.20,,,,,
爞,冬,冬,平,徒冬,downg,一,開,定,冬,32.45,,,,,
爞,東,東,平,直弓,drjuwng,三,開,澄,東,24.30,,,,,
衞,祭,祭,去,于歲,hwjejH (III),三,合,云（喻三）,,375.17,,,,,
璽,,紙,上,斯氏,sjeX,三,開,心,支,244.20,s-,-je,B,sjeX,
頔,,錫,入,徒歷,dek,四,開,定,青,522.26,,,,,
襹,支,支,平,所宜,srje,三,開,生（審二）,支,49.45,,,,,
襹,,寘,去,所寄,srjeH,三,開,生（審二）,支,349.07,,,,,
闢,,昔,入,房益,bjiek,三,開,並,清,519.22,,,,,bjiäk 4
沫,,末,入,莫撥,mat,一,開,明,桓,485.25,,,,,
檳,真,真,平,必鄰,pjin (IV),三,開,幫,真,103.19,,,,,
仭,,,,,,,,,,,,,,,
鬐,脂,脂,平,渠脂,gij (III),三,開,群,脂,54.20,,,,,
韺,庚,庚,平,於驚,ʔjæng,三,開,影,庚,185.33,,,,,
𣍿,,,,,,,,,,,,,,,
乳,,麌,上,而主,nyuX,三,開,日,虞,263.34,ny-,-ju,B,nyuX,ńźjuᴮ
姥,,姥,上,莫補,muX,一,開,明,模,264.24,,,,,
𥈭,,,,,,,,,,,,,,,
喌,尤,尤,平,職流,tsyuw,三,開,章（照三）,尤,206.20,,,,,
喌,,屋,入,之六,tsyuwk,三,開,章（照三）,東,456.26,,,,,
鍉,齊,齊,平,都奚,tej,四,開,端,齊,87.49,,,,,
軸,,屋,入,直六,drjuwk,三,開,澄,東,454.35,dr-,-juwk,D,drjuwk,
軺,宵,宵,平,市昭,dzyew,三,開,常（禪三）,宵,149.19,,,,,
軺,宵,宵,平,餘昭,yew,三,開,以（喻四）,宵,148.39,,,,,
戞,,,,,,,,,,,,,,,
鈐,鹽,鹽,平,巨淹,gjem (III),三,開,群,鹽,228.11,,,,,
澶,,翰,去,徒案,danH,一,開,定,寒,401.20,,,,,
澶,仙,仙,平,市連,dzyen,三,開,常（禪三）,仙,138.38,,,,,
惕,,錫,入,他歷,thek,四,開,透,青,522.42,th-,-ek,D,thek,tʰiek
夙,,屋,入,息逐,sjuwk,三,開,心,東,458.29,s-,-juwk,D,sjuwk,sjuk
夙,,,,,,,,,,,,,,,sjuk
綱,唐,唐,平,古郎,kang,一,開,見,唐,180.19,k-,-ang,A,kang,kâŋ
嚥,,霰,去,於甸,ʔenH,四,開,影,先,408.26,,,,,
疃,,緩,上,吐緩,thwanX,一,合,透,桓,285.26,,,,,
替,,霽,去,他計,thejH,四,開,透,齊,371.26,th-,-ej,C,thejH,
喁,鍾,鍾,平,魚容,ngjowng,三,開,疑,鍾,36.05,,,,,"ŋju,ŋəuᴮ,ŋjuŋ"
猰,,屑,入,苦結,khet,四,開,溪,先,495.36,,,,,
猰,,鎋,入,古鎋,kæt,二,開,見,刪,491.15,,,,,
猰,,黠,入,烏黠,ʔɛt,二,開,影,山,489.31,,,,,
墻,陽,陽,平,在良,dzjang,三,開,從,陽,176.36,,,,,
葼,東,東,平,子紅,tsuwng,一,開,精,東,31.38,,,,,
提,齊,齊,平,杜奚,dej,四,開,定,齊,87.63,d-,-ej,A,dej,tieiᴮ
提,支,支,平,是支,dzye,三,開,常（禪三）,支,45.21,,,,,
戀,,線,去,力卷,lwjenH,三,合,來,仙,410.51,l-,-jwen,C,ljwenH,
惻,,職,入,初力,tsrhik,三,開,初（穿二）,蒸,526.09,,,,,
縗,灰,灰,平,倉回,tshwoj,一,合,清,灰,97.40,tsh-,-woj,A,tshwoj,
尾,,尾,上,無匪,mjɨjX,三,開,明,微,254.33,m-,-j+j,B,mj+jX,mjweiᴮ
禷,,至,去,力遂,lwijH,三,合,來,脂,351.17,,,,,
弋,,職,入,與職,yik,三,開,以（喻四）,蒸,526.58,y-,-ik,D,yik,jiək
痾,歌,歌,平,烏何,ʔa,一,開,影,歌,161.33,,,,,
娘,陽,陽,平,女良,nrjang,三,開,娘,陽,176.06,,,,,
豐,東,東,平,敷空,phjuwng,三,開,滂,東,27.04,ph-,-jowng,A,phjowng,pʰjuŋ
豐,,,,,,,,,,,ph-,-jowng,A,phjowng,
豐,,,,,,,,,,,ph-,-jowng,A,phjowng,
豐,,,,,,,,,,,ph-,-juwng,A,phjuwng,
卄,鍾,鍾,平,九容,kjowng,三,開,見,鍾,38.07,,,,,
嵋,脂,脂,平,武悲,mij (III),三,開,明,脂,57.08,,,,,
蓀,魂,魂,平,思渾,swon,一,合,心,魂,118.01,,,,,
黦,,月,入,於歇,ʔjot,三,開,影,元,479.23,,,,,
黦,,物,入,紆物,ʔjut,三,開,影,文,475.38,,,,,
黦,,月,入,於月,ʔwjot,三,合,影,元,478.38,,,,,
哽,,梗,上,古杏,kængX,二,開,見,庚,315.45,,,,,"tsʰjuən,tsjuənᶜ"
髠,,,,,,,,,,,,,,,
槽,豪,豪,平,昨勞,dzaw,一,開,從,豪,158.29,,,,,
槽,豪,豪,平,作曹,tsaw,一,開,精,豪,157.52,,,,,
飡,,,,,,,,,,,,,,,
祭,祭,祭,去,子例,tsjejH,三,開,精,,375.06,ts-,-jej,C,tsjejH,
祭,,怪,去,側界,tsrɛjH,二,開,莊（照二）,皆,384.46,,,,,
鼂,宵,宵,平,直遙,drjew,三,開,澄,宵,147.15,,,,,
彾,青,青,平,郎丁,leng,四,開,來,青,196.34,,,,,
撅,,月,入,其月,gwjot,三,合,群,元,478.42,,,,,kjwäiᶜ
撅,,月,入,居月,kwjot,三,合,見,元,478.31,,,,,
憎,登,登,平,作滕,tsong,一,開,精,登,201.19,ts-,-ong,A,tsong,
帖,,帖,入,他協,thep,四,開,透,添,541.02,,,,,
譚,覃,覃,平,徒含,dom,一,開,定,覃,221.10,,,,,dậm
譚,,感,上,徒感,domX,一,開,定,覃,330.33,,,,,
虺,,尾,上,許偉,xwjɨjX,三,合,曉,微,255.37,x-,-woj,A,xwoj,
虺,灰,灰,平,呼恢,xwoj,一,合,曉,灰,96.07,x-,-jw+j,B,xjw+jX,
虺,皆,皆,平,呼懷,xwɛj,二,合,曉,皆,95.21,,,,,
欠,,梵,去,去劔,khjæmH,三,開,溪,凡,446.21,kh-,-jom,C,khjomH,kʰjɐmᶜ
朋,登,登,平,步崩,bong,一,開,並,登,201.37,b-,-ong,A,bong,bəŋ
哦,歌,歌,平,五何,nga,一,開,疑,歌,160.31,,,,,
薤,,怪,去,胡介,hɛjH,二,開,匣,皆,385.32,,,,,
籝,,,,,,,,,,,,,,,
蔆,蒸,蒸,平,力膺,ling,三,開,來,蒸,199.02,,,,,
礜,,御,去,羊洳,yoH,三,開,以（喻四）,魚,363.17,,,,,
餚,肴,肴,平,胡茅,hæw,二,開,匣,肴,151.48,,,,,
斑,刪,刪,平,布還,pæn,二,開,幫,刪,128.18,,,,,pwan
挺,青,青,平,特丁,deng,四,開,定,青,194.29,,,,,tʰieŋᴮ
挺,,迥,上,徒鼎,dengX,四,開,定,青,319.48,,,,,
嫜,,,,,,,,,,,,,,,
夸,麻,麻,平,苦瓜,khwæ,二,合,溪,麻,166.17,kh-,-wae,A,khwae,
嚗,,覺,入,北角,pæwk,二,開,幫,江,465.36,,,,,
恥,,止,上,敕里,trhiX,三,開,徹,之,254.18,trh-,-i,B,trhiX,ṭʰiᴮ
件,,獮,上,其輦,gjenX (III),三,開,群,仙,292.43,,,,,
榱,脂,脂,平,所追,srwij,三,合,生（審二）,脂,55.39,,,,,
捕,,暮,去,薄故,buH,一,開,並,模,370.07,,,,,
穗,,至,去,徐醉,zwijH,三,合,邪,脂,350.43,z-,-wij,C,zwijH,zwiᶜ
糪,,麥,入,普麥,phɛk,二,開,滂,耕,516.01,,,,,
糪,,麥,入,博厄,pɛk,二,開,幫,耕,513.52,,,,,
枑,,暮,去,胡誤,huH,一,開,匣,模,369.04,h-,-u,C,huH,
鈌,,屑,入,古穴,kwet,四,合,見,先,492.43,,,,,
鵾,魂,魂,平,古渾,kwon,一,合,見,魂,116.43,,,,,
僁,,屑,入,先結,set,四,開,心,先,491.30,,,,,
僁,,質,入,息七,sit,三,開,心,真,468.38,,,,,
週,,,,,,,,,,,,,,,
鯢,齊,齊,平,五稽,ngej,四,開,疑,齊,89.56,,,,,
俳,皆,皆,平,步皆,bɛj,二,開,並,皆,94.39,,,,,
審,,寢,上,式任,syimX,三,開,書（審三）,侵,329.06,sy-,-im,B,syimX,śjəmᴮ
尉,,物,入,紆物,ʔjut,三,開,影,文,475.41,,,,,
尉,,未,去,於胃,ʔwjɨjH,三,合,影,微,359.42,,,,,
潬,,旱,上,徒旱,danX,一,開,定,寒,284.21,,,,,
壅,鍾,鍾,平,於容,ʔjowng,三,開,影,鍾,36.17,,,,,
壅,,腫,上,於隴,ʔjowngX,三,開,影,冬鍾,238.04,,,,,
馤,泰,泰,去,於蓋,ʔajH,一,開,影,,380.10,,,,,
躡,,葉,入,尼輒,nrjep,三,開,娘,鹽,539.38,nr-,-jep,D,nrjep,ṇjäp
葢,,,,,,,,,,,,,,,
彎,刪,刪,平,烏關,ʔwæn,二,合,影,刪,127.30,,,,,
𡺸,,,,,,,,,,,,,,,
申,真,真,平,失人,syin,三,開,書（審三）,真,102.32,sy-,-in,A,syin,
犢,,屋,入,徒谷,duwk,一,開,定,東,449.25,d-,-uwk,D,duwk,duk
佞,,徑,去,乃定,nengH,四,開,泥,青,431.46,,,,,nieŋᶜ
窣,,沒,入,蘇骨,swot,一,合,心,魂,482.20,,,,,
剸,寒(+w),桓,平,度官,dwan,一,合,定,桓,124.51,,,,,
剸,,線,去,之囀,tsywenH,三,合,章（照三）,仙,412.18,,,,,
剸,,獮,上,旨兖,tsywenX,三,合,章（照三）,仙,294.29,,,,,
桴,尤,尤,平,縛謀,bjuw,三,開,並,尤,211.08,,,,,"bjuᴮ,bəuᴮ"
桴,虞,虞,平,芳無,phju,三,開,滂,虞,79.16,,,,,
紝,侵,侵,平,如林,nyim,三,開,日,侵,218.19,nr-,-im,A,nrim,"ńźjəm,ṇjəm"
紝,,,,,,,,,,,ny-,-im,A,nyim,
潺,仙,仙,平,士連,dzrjen,三,開,崇（牀二）,仙,138.14,,,,,
潺,山,山,平,士山,dzrɛn,二,開,崇（牀二）,山,129.33,,,,,
稾,,晧,上,古老,kawX,一,開,見,豪,302.57,,,,,
稾,,号,去,苦到,khawH,一,開,溪,豪,418.51,,,,,
斌,真,真,平,府巾,pin (III),三,開,幫,真,106.18,,,,,
栖,齊,齊,平,先稽,sej,四,開,心,齊,90.16,s-,-ej,A,sej,
栖,,霽,去,蘇計,sejH,四,開,心,齊,372.28,,,,,
栖,,有,上,與久,yuwX,三,開,以（喻四）,尤,324.13,,,,,
葷,文,文,平,許云,xjun,三,開,曉,文,111.34,x-,-jun,A,xjun,
鳬,,,,,,,,,,,,,,,
靶,,禡,去,必駕,pæH,二,開,幫,麻,423.27,,,,,
鰥,山,山,平,古頑,kwɛn,二,合,見,山,129.06,k-,-wean,A,kwean,kwăn
鰥,,襉,去,古幻,kwɛnH,二,合,見,山,406.23,k-,-wean,A,kwean,
樅,鍾,鍾,平,七恭,tshjowng,三,開,清,鍾,38.16,,,,,
樅,鍾,鍾,平,即容,tsjowng,三,開,精,鍾,37.21,,,,,
組,,姥,上,則古,tsuX,一,開,精,模,266.29,,,,,
耗,,,,,,,,,,,,,,,
𣀳,,葉,入,尼輒,nrjep,三,開,娘,鹽,539.52,,,,,
熈,,,,,,,,,,,,,,,
雇,,姥,上,侯古,huX,一,開,匣,模,267.27,k-,-u,C,kuH,kuoᶜ
雇,,暮,去,古暮,kuH,一,開,見,模,368.27,,,,,
粉,,吻,上,方吻,pjunX,三,開,幫,文,278.38,p-,-jun,B,pjunX,pjuənᴮ
耋,,屑,入,徒結,det,四,開,定,先,493.16,,,,,
否,,旨,上,符鄙,bijX (III),三,開,並,脂,249.33,p-,-juw,B,pjuwX,bjiᴮ 3
否,,有,上,方久,pjuwX,三,開,幫,尤,323.07,,,,,pjəuᴮ
槧,,敢,上,才敢,dzamX,一,開,從,談,333.09,,,,,
槧,,琰,上,慈染,dzjemX,三,開,從,鹽,335.28,,,,,
槧,鹽,鹽,平,七廉,tshjem,三,開,清,鹽,226.17,,,,,
槧,,豔,去,七豔,tshjemH,三,開,清,鹽,443.59,,,,,
𥦽,,,,,,,,,,,,,,,
氅,,養,上,昌兩,tsyhangX,三,開,昌（穿三）,陽,311.49,,,,,
榮,庚,庚,平,永兵,hwjæng,三,合,云（喻三）,庚,186.27,h-,-jwaeng,A,hjwaeng,jwɐŋ
鏜,唐,唐,平,吐郎,thang,一,開,透,唐,182.05,th-,-ang,A,thang,tʰâŋ
秳,,末,入,戸括,hwat,一,合,匣,桓,486.24,,,,,
畸,支,支,平,居宜,kje (III),三,開,見,支,46.54,,,,,
絣,耕,耕,平,北萌,pɛng,二,開,幫,耕,189.39,,,,,
悁,仙,仙,平,於緣,ʔwjien (IV),三,合,影,仙,141.23,-,-jwien,A,jwien,
込,,,,,,,,,,,,,,,
鶺,,,,,,,,,,,,,,,
嬿,,霰,去,於甸,ʔenH,四,開,影,先,408.25,,,,,
嬿,,銑,上,於殄,ʔenX,四,開,影,先,288.46,,,,,
試,,志,去,式吏,syiH,三,開,書（審三）,之,357.01,sy-,-i,C,syiH,śiᶜ
嬌,宵,宵,平,巨嬌,gjew (III),三,開,群,宵,150.36,,,,,
嬌,宵,宵,平,舉喬,kjew (III),三,開,見,宵,147.44,,,,,
嬌,,小,上,居夭,kjewX (III),三,開,見,宵,298.40,,,,,
鐺,唐,唐,平,都郎,tang,一,開,端,唐,179.48,,,,,
鐺,庚,庚,平,楚庚,tsrhæng,二,開,初（穿二）,庚,185.23,,,,,
胗,,軫,上,居忍,kjinX (IV),三,開,見,真,276.05,,,,,
胗,,軫,上,章忍,tsyinX,三,開,章（照三）,真,275.06,,,,,
墊,,帖,入,徒協,dep,四,開,定,添,541.57,t-,-em,C,temH,
墊,,㮇,去,都念,temH,四,開,端,添,444.35,,,,,
版,,潸,上,布綰,pænX,二,開,幫,刪,286.37,,,,,
築,,屋,入,張六,trjuwk,三,開,知,東,457.08,tr-,-juwk,D,trjuwk,ṭjuk
菅,刪,刪,平,古顔,kæn,二,開,見,刪,128.36,,,,,
帬,文,文,平,渠云,gjun,三,開,群,文,111.21,,,,,
堰,,線,去,於扇,ʔjienH (IV),三,開,影,仙,410.30,,,,,
堰,,願,去,於建,ʔjonH,三,開,影,元,398.35,,,,,
堰,,阮,上,於幰,ʔjonX,三,開,影,元,280.21,,,,,
核,,麥,入,下革,hɛk,二,開,匣,耕,515.09,,,,,Ɣɛk
桀,,薛,入,渠列,gjet (III),三,開,群,仙,497.22,g-,-jet,D,gjet,
桀,,,,,,,,,,,g-,-jet,D,gjet,
桀,,,,,,,,,,,k-,-jet,D,kjet,
扐,,德,入,盧則,lok,一,開,來,登,529.18,,,,,
